ID;ТУ;ДАТА;ПРОЕКТ;ЗАДАЧА;СОДЕРЖАНИЕ;РЕЗУЛЬТАТ;МЕСТО;ОЧТЕТ;ИНФО
882;АЭР;25.12.17;УТСК;Техсопровождение;нет опроса;неокончено;офис АЭР;;
883;АЭР;25.12.17;Т Плюс Самарский;Сдача работ;КС-2,3;ок;офис АЭР;;
884;АЭР;25.12.17; -;Документы;запрос ИФНС;ок;офис АЭР;;
885;АЭР;26.12.17;Т Плюс Самарский;Сдача работ;Исполнительная документация;ок;командировка;;
886;АЭР;26.12.17;Т Плюс Самарский;Сдача работ;КС-2,3;ок;командировка;;
887;АЭР;26.12.17;Т Плюс Самарский;СМР;организация работ;ок;командировка;;
888;АЭР;27.12.17;Т Плюс Самарский;Сдача работ;Исполнительная документация;ок;командировка;;
889;АЭР;27.12.17;Т Плюс Самарский;Сдача работ;КС-2,3;ок;командировка;;
890;АЭР;27.12.17;Т Плюс Самарский;СМР;организация работ;ок;командировка;;
891;АЭР;27.12.17;Т Плюс Самарский;ПНР; -;ок;командировка;;
892;АЭР;28.12.17;Т Плюс Самарский;Сдача работ;Исполнительная документация;ок;командировка;;
893;АЭР;28.12.17;Т Плюс Самарский;Сдача работ;КС-2,3;ок;командировка;;
894;АЭР;28.12.17;Т Плюс Самарский;СМР;организация работ;ок;командировка;;
895;АЭР;28.12.17;Т Плюс Самарский;ПНР; -;ок;командировка;;
896;АЭР;29.12.17;Т Плюс Самарский;Сдача работ;Исполнительная документация;ок;командировка;;
897;АЭР;29.12.17;Т Плюс Самарский;Сдача работ;КС-2,3;ок;командировка;;
898;АЭР;29.12.17;Т Плюс Самарский;СМР;организация работ;ок;командировка;;
899;ЭА;06.01.18;ЗГАЭС-2;ПИР;ТРП;неокончено;командировка;;
900;ЭА;07.01.18;ЗГАЭС-2;ПИР;ТРП;неокончено;командировка;;
901;ЭА;08.01.18;ЗГАЭС-2;ПИР;ТРП;ок;командировка;;
902;АЭР;08.01.18;Т Плюс Самарский;СМР;организация работ;ок;командировка;;
903;АЭР;09.01.18;Т Плюс Самарский;Сдача работ; -;ок;командировка;;
904;ЭА;10.01.18;ЗГАЭС-2;ПИР; -;ок;командировка;;
905;АЭР;10.01.18;Т Плюс Самарский;Сдача работ; -;ок;командировка;;
906;АЭР;11.01.18;Т Плюс Самарский;Сдача работ; -;ок;командировка;;
907;АЭР;12.01.18;Т Плюс Самарский;Сдача работ; -;ок;командировка;;
908;АЭР;13.01.18;Т Плюс Самарский;Сдача работ; -;ок;командировка;;
909;АЭР;15.01.18;Т Плюс Самарский;Персонал;договоры;ок;офис АЭР;;
910;АЭР;15.01.18;Т Плюс Самарский;Оплата;счета;ок;офис АЭР;;
911;АЭР;15.01.18;Т Плюс Самарский;Персонал;расчеты;ок;офис АЭР;;
912;АЭР;15.01.18;Т Плюс Самарский;Бюджет;исполнение;неокончено;офис АЭР;;
913;ЭА;15.01.18;ЗГАЭС-2;ПИР;ВОР;неокончено;офис АЭР;;
914;АЭР;15.01.18;Курильчик;ТКП; -;ок;офис АЭР;;
915;АЭР;15.01.18;Т Плюс Самарский;Расчеты;расчеты;неокончено;офис АЭР;;
916;ЭА;16.01.18;ЗГАЭС-2;ПИР; -;ок;офис АЭР;;
917;АЭР;16.01.18;Т Плюс Самарский;Комплектация;ревизия документации;неокончено;офис АЭР;;
918;АЭР;16.01.18; -;Маркетинг;Анализ конкурсов;ок;офис АЭР;;
919;АЭР;16.01.18;Т Плюс Самарский;Расчеты;расчеты с субподрядчиками;неокончено;офис АЭР;;
920;АЭР;16.01.18;Т Плюс Самарский;Расчеты;расчеты с поставщиком;неокончено;офис АЭР;;
921;АЭР;16.01.18;СН;Постановка задачи; -;неокончено;офис АЭР;;
922;АЭР;17.01.18;Самолет;Постановка задачи; -;неокончено;офис АЭР;;
923;АЭР;17.01.18;Т Плюс Самарский;Комплектация;Документы;неокончено;офис АЭР;;
924;АЭР;17.01.18;Глобус ТО;Договор; -;неокончено;офис АЭР;;
925;ЭА;17.01.18;ЗГАЭС-2;ПИР; -;неокончено;офис АЭР;;
